19100000,8743333.33333333,4430000,2270000,898666.666666667,451333.333333333,227000,93933.3333333333,51300,32833.3333333333,26300
19766666.6666667,9016666.66666667,4580000,2350000,932333.333333333,466333.333333333,234666.666666667,96933.3333333333,52633.3333333333,33200,26100
19933333.3333333,9090000,4616666.66666667,2370000,942000,469666.666666667,236666.666666667,97433.3333333333,52733.3333333333,33100,26133.3333333333
20533333.3333333,9363333.33333333,4756666.66666667,2443333.33333333,967333.333333333,484666.666666667,244333.333333333,100400,54300,34066.6666666667,27200
19133333.3333333,8730000,4426666.66666667,2266666.66666667,899666.666666667,450333.333333333,227000,94200,51700,33433.3333333333,27833.3333333333
19366666.6666667,8810000,4466666.66666667,2290000,913000,455000,229333.333333333,95000,52033.3333333333,33533.3333333333,28100
18866666.6666667,8616666.66666667,4366666.66666667,2240000,888333.333333333,444666.666666667,224000,92733.3333333333,50633.3333333333,32333.3333333333,27166.6666666667
19300000,8823333.33333333,4480000,2303333.33333333,914333.333333333,458333.333333333,231000,95466.6666666667,52033.3333333333,33233.3333333333,28366.6666666667
581333333.333333,1686666666.66667,1050000000,594333333.333333,251666666.666667,136333333.333333,66300000,26533333.3333333,13600000,7170000,2426666.66666667
19066666.6666667,8663333.33333333,4403333.33333333,2256666.66666667,896000,448000,226000,93700,51633.3333333333,33766.6666666667,31400
18833333.3333333,8576666.66666667,4343333.33333333,2233333.33333333,883000,443000,223333.333333333,92633.3333333333,50833.3333333333,33033.3333333333,30900
18733333.3333333,8543333.33333334,4333333.33333333,2223333.33333333,883333.333333333,440666.666666667,222000,91966.6666666667,50366.6666666667,32600,30300
18066666.6666667,8256666.66666667,4193333.33333333,2146666.66666667,854000,427333.333333333,215666.666666667,89300,48933.3333333333,31733.3333333333,29833.3333333333
19533333.3333333,8950000,4536666.66666667,2323333.33333333,918333.333333333,461000,232666.666666667,96033.3333333333,52333.3333333333,33666.6666666667,31466.6666666667
19166666.6666667,8790000,4466666.66666667,2286666.66666667,906000,453333.333333333,228666.666666667,95066.6666666667,52533.3333333333,34733.3333333333,33200
19000000,8686666.66666667,4406666.66666667,2263333.33333333,899333.333333333,449000,227000,93966.6666666667,51500,33600,31666.6666666667
19100000,8693333.33333333,4410000,2263333.33333333,894333.333333333,448333.333333333,225666.666666667,93566.6666666667,51066.6666666667,33000,30833.3333333333
18566666.6666667,8470000,4296666.66666667,2203333.33333333,871666.666666667,437333.333333333,220333.333333333,91033.3333333333,49600,31800,29133.3333333333
18466666.6666667,8430000,4283333.33333333,2193333.33333333,871333.333333333,435000,219333.333333333,90733.3333333333,49433.3333333333,31800,28866.6666666667
19566666.6666667,8926666.66666667,4536666.66666667,2323333.33333333,922666.666666667,463000,233000,96200,52166.6666666667,33200,29933.3333333333
19566666.6666667,8913333.33333333,4530000,2323333.33333333,923333.333333333,462666.666666667,233333.333333333,97366.6666666667,54366.6666666667,36433.3333333333,33433.3333333333
5960000,3633333.33333333,1830000,940000,373333.333333333,187000,94700,39433.3333333333,21666.6666666667,13600,10200
2473333.33333333,1446666.66666667,772000,448333.333333333,254000,154666.666666667,84966.6666666667,37666.6666666667,22166.6666666667,14933.3333333333,12666.6666666667
